gbifID;publisher;datasetID;datasetName;decimalLatitude;decimalLongitude;scientificName;publisher;coordinatePrecision;coordinateUncertaintyInMeters;datasetID;datasetName;decimalLatitude;decimalLongitude;geodeticDatum;scientificName
232610272;;;;37.84083;-5.27627;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610368;;;;37.04547;-3.6226;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610401;;;;37.09233;-2.58423;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610434;;;;37.10546;-2.52138;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610467;;;;37.64617;-3.64209;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610629;;;;37.7627;-3.33039;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610632;;;;36.9036;-2.53663;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610665;;;;37.02249;-2.54666;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610698;;;;37.24286;-2.02162;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610728;;;;37.07586;-2.44224;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610797;;;;37.24248;-3.23618;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610827;;;;37.18554;-4.20885;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610863;;;;36.88984;-2.99248;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610926;;;;37.00706;-2.75203;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232610959;;;;37.34939;-2.08749;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611028;;;;36.76445;-3.51359;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611031;;;;37.31564;-2.25116;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611064;;;;36.98343;-2.17115;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611097;;;;38.31255;-3.37619;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611163;;;;37.00121;-2.17301;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611196;;;;37.30604;-1.74081;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
