"Species","lon","lat"
"Anthyllis cytisoides",-2.43992,37.09537
"Anthyllis cytisoides",-2.60927,37.05612
"Anthyllis cytisoides",-2.63437,36.8451
"Anthyllis cytisoides",-2.02687,37.3429
"Anthyllis cytisoides",-2.15283,37.29591
"Anthyllis cytisoides",-2.15592,37.2745
"Anthyllis cytisoides",-1.94462,37.50066
"Anthyllis cytisoides",-2.31062,37.39201
"Anthyllis cytisoides",-2.27251,37.32593
"Anthyllis cytisoides",-2.2301,36.94063
"Anthyllis cytisoides",-2.19968,37.81414
"Anthyllis cytisoides",-2.89098,37.54998
"Anthyllis cytisoides",0.1,41.1
"Anthyllis cytisoides",-0.18,38.86
"Anthyllis cytisoides",-2.83,37.63
"Anthyllis cytisoides",-3.39,36.91
"Anthyllis cytisoides",-0.51,39.54
"Anthyllis cytisoides",-6.09415,38.04617
"Anthyllis cytisoides",-3.67,36.86
"Anthyllis cytisoides",-0.71,38.47
"Anthyllis cytisoides",-5.69596,36.44564
"Anthyllis cytisoides",2.77715,42.793
"Anthyllis cytisoides",-0.0929,38.6498
"Anthyllis cytisoides",-0.1621,38.6425
"Anthyllis cytisoides",-0.4748,38.7353
"Anthyllis cytisoides",-0.6951,38.5011
"Anthyllis cytisoides",-0.592,38.499
"Anthyllis cytisoides",-0.7463,38.3309
"Anthyllis cytisoides",-0.6094,38.3191
"Anthyllis cytisoides",-1.7869,38.3553
"Anthyllis cytisoides",-1.7765,38.2921
"Anthyllis cytisoides",-1.1478,38.2838
"Anthyllis cytisoides",-1.6202,38.0921
"Anthyllis cytisoides",-1.2498,37.8438
"Anthyllis cytisoides",-1.111,37.9408
"Anthyllis cytisoides",-1.9318,37.834
"Anthyllis cytisoides",-1.9115,37.6716
"Anthyllis cytisoides",-1.5347,37.8027
"Anthyllis cytisoides",-2.3678,37.3414
"Anthyllis cytisoides",-2.9663,36.9825
"Anthyllis cytisoides",-3.0112,36.8834
"Anthyllis cytisoides",0.5725,41.057
"Anthyllis cytisoides",-1.1789,39.762
"Anthyllis cytisoides",-0.7388,39.6551
"Anthyllis cytisoides",-1.0646,39.2556
"Anthyllis cytisoides",-0.1943,40.1477
"Anthyllis cytisoides",2.3831,39.5584
"Anthyllis cytisoides",2.0379,41.7451
"Anthyllis cytisoides",-1.2858,39.214
"Anthyllis cytisoides",-1.8329,38.3377
"Anthyllis cytisoides",-1.4868,38.4779
"Anthyllis cytisoides",-4.405,36.727
"Anthyllis cytisoides",-0.39778,38.42889
"Anthyllis cytisoides",-3.9,34.5
"Anthyllis cytisoides",0.34551,40.48453
"Anthyllis cytisoides",-0.63716,38.86931
"Anthyllis cytisoides",-1.18772,39.87022
"Anthyllis cytisoides",-0.52512,38.77689
"Anthyllis cytisoides",-0.27792,39.22184
"Anthyllis cytisoides",-0.95668,39.77629
"Anthyllis cytisoides",0.23504,40.30179
"Anthyllis cytisoides",-1.20405,39.23981
"Anthyllis cytisoides",-0.60039,39.94963
"Anthyllis cytisoides",-0.48344,39.94715
"Anthyllis cytisoides",-2.683,37.06822
"Anthyllis cytisoides",-0.73508,39.41182
"Anthyllis cytisoides",-2.3758,37.0575
"Anthyllis cytisoides",-5.01,36.66
"Anthyllis cytisoides",-3.78,36.77
"Anthyllis cytisoides",-1.28,38.11
"Anthyllis cytisoides",-3,36.77
"Anthyllis cytisoides",-0.83,38.19
"Anthyllis cytisoides",-1.64,37.48
"Anthyllis cytisoides",-0.55,39.45
"Anthyllis cytisoides",-0.34,39.08
"Anthyllis cytisoides",-2.09,37.22
"Anthyllis cytisoides",-0.54,39.99
"Anthyllis cytisoides",-0.06887,38.67624
"Anthyllis cytisoides",0.10596,40.56884
"Anthyllis cytisoides",0.46337,40.48717
"Anthyllis cytisoides",-1.78,37.36
"Anthyllis cytisoides",-4.28014,36.8509
"Anthyllis cytisoides",-4.52835,37.01639
"Anthyllis cytisoides",-2.0585,37.49928
"Anthyllis cytisoides",-2.22714,36.9518
"Anthyllis cytisoides",-2.14544,36.88059
"Anthyllis cytisoides",-2.11757,37.21741
"Anthyllis cytisoides",-3.05628,36.94305
"Anthyllis cytisoides",-3.04779,36.90441
"Anthyllis cytisoides",-2.4539,36.97871
"Anthyllis cytisoides",-2.94107,36.91755
"Anthyllis cytisoides",-3.10881,36.93068
"Anthyllis cytisoides",-2.00356,37.18076
"Anthyllis cytisoides",-2.40203,37.12464
"Anthyllis cytisoides",-4.84981,36.52973
"Anthyllis cytisoides",-2.51884,36.93073
"Anthyllis cytisoides",-2.60335,36.94821
"Anthyllis cytisoides",-2.04393,37.25834
"Anthyllis cytisoides",-2.20128,37.1969
"Anthyllis cytisoides",-2.57391,37.32219
"Anthyllis cytisoides",-3.36099,38.11373
"Anthyllis cytisoides",-4.53,37.53
"Anthyllis cytisoides",-4.75,37.35
"Anthyllis cytisoides",-4.36125,36.745
